condition,state_id,target_name,internal_target_id,direct_or_reporter,carbon_count,mass_index,mass_isotopologue,fraction
condition0,theta0_sample_001,Alanine,alanine,reporter,3,2,M+2,0.035209677783428914
condition0,theta0_sample_001,Alanine,alanine,reporter,3,3,M+3,0.66548218480075416
condition0,theta0_sample_001,Lactate,lactate,reporter,3,0,M+0,0.26617404738493694
condition0,theta0_sample_001,Lactate,lactate,reporter,3,1,M+1,0.033134090030880074
condition0,theta0_sample_001,Lactate,lactate,reporter,3,2,M+2,0.035209677783428914
condition0,theta0_sample_001,Lactate,lactate,reporter,3,3,M+3,0.66548218480075416
condition0,theta0_sample_001,Citrate,citrate,reporter,6,0,M+0,0.017358827395348976
condition0,theta0_sample_001,Citrate,citrate,reporter,6,1,M+1,0.036077070715628747
condition0,theta0_sample_001,Citrate,citrate,reporter,6,2,M+2,0.1009427375470441
condition0,theta0_sample_001,Citrate,citrate,reporter,6,3,M+3,0.1460119675263582
condition0,theta0_sample_001,Citrate,citrate,reporter,6,4,M+4,0.26359537537802225
condition0,theta0_sample_001,Citrate,citrate,reporter,6,5,M+5,0.14646407852646784
condition0,theta0_sample_001,Citrate,citrate,reporter,6,6,M+6,0.28954994291113034
condition0,theta0_sample_001,aKG,akg,direct,5,0,M+0,0.022416064267671409
condition0,theta0_sample_001,aKG,akg,direct,5,1,M+1,0.061332998030685752
condition0,theta0_sample_001,aKG,akg,direct,5,2,M+2,0.13197289091790013
condition0,theta0_sample_001,aKG,akg,direct,5,3,M+3,0.28021772496031261
condition0,theta0_sample_001,aKG,akg,direct,5,4,M+4,0.18623356386457493
condition0,theta0_sample_001,aKG,akg,direct,5,5,M+5,0.31782675795885562
condition0,theta0_sample_001,Succinate,succinate,direct,4,0,M+0,0.047849479619829202
condition0,theta0_sample_001,Succinate,succinate,direct,4,1,M+1,0.082934828750757403
condition0,theta0_sample_001,Succinate,succinate,direct,4,2,M+2,0.28131988141220982
condition0,theta0_sample_001,Succinate,succinate,direct,4,3,M+3,0.19715783244399215
condition0,theta0_sample_001,Succinate,succinate,direct,4,4,M+4,0.39073797777321201
condition0,theta0_sample_001,Fumarate,fumarate,direct,4,0,M+0,0.047849479619829202
condition0,theta0_sample_001,Fumarate,fumarate,direct,4,1,M+1,0.082934828750757403
condition0,theta0_sample_001,Fumarate,fumarate,direct,4,2,M+2,0.28131988141220982
condition0,theta0_sample_001,Fumarate,fumarate,direct,4,3,M+3,0.19715783244399213
condition0,theta0_sample_001,Fumarate,fumarate,direct,4,4,M+4,0.39073797777321206
condition0,theta0_sample_001,Malate,malate,direct,4,0,M+0,0.048137803931728756
condition0,theta0_sample_001,Malate,malate,direct,4,1,M+1,0.082367867223176294
condition0,theta0_sample_001,Malate,malate,direct,4,2,M+2,0.28226804632358432
condition0,theta0_sample_001,Malate,malate,direct,4,3,M+3,0.19580908995638818
condition0,theta0_sample_001,Malate,malate,direct,4,4,M+4,0.39141719256512303
condition0,theta0_sample_001,Glutamine,glutamine,direct,5,0,M+0,0.022416064267671409
condition0,theta0_sample_001,Glutamine,glutamine,direct,5,1,M+1,0.061332998030685759
condition0,theta0_sample_001,Glutamine,glutamine,direct,5,2,M+2,0.13197289091790015
condition0,theta0_sample_001,Glutamine,glutamine,direct,5,3,M+3,0.28021772496031266
condition0,theta0_sample_001,Glutamine,glutamine,direct,5,4,M+4,0.18623356386457493
condition0,theta0_sample_001,Glutamine,glutamine,direct,5,5,M+5,0.31782675795885562
condition0,theta0_sample_001,Aspartate,aspartate,reporter,4,0,M+0,0.058834792046319327
condition0,theta0_sample_001,Aspartate,aspartate,reporter,4,1,M+1,0.12030036663768692
condition0,theta0_sample_001,Aspartate,aspartate,reporter,4,2,M+2,0.19948739386939399
condition0,theta0_sample_001,Aspartate,aspartate,reporter,4,3,M+3,0.20478494416287446
condition0,theta0_sample_001,Aspartate,aspartate,reporter,4,4,M+4,0.41659250328372571
condition0,theta0_sample_001,Glycine,glycine,reporter,2,0,M+0,0.27096406219896141
condition0,theta0_sample_001,Glycine,glycine,reporter,2,1,M+1,0.058071875602077105
condition0,theta0_sample_001,Glycine,glycine,reporter,2,2,M+2,0.67096406219896132
condition0,theta0_sample_001,Serine,serine,reporter,3,0,M+0,0.27096406219896141
condition0,theta0_sample_001,Serine,serine,reporter,3,1,M+1,0.029035937801038556
condition0,theta0_sample_001,Serine,serine,reporter,3,2,M+2,0.029035937801038553
condition0,theta0_sample_001,Serine,serine,reporter,3,3,M+3,0.67096406219896132
condition0,theta0_sample_002,Pyruvate,pyruvate,direct,3,0,M+0,0.25889766950322596
condition0,theta0_sample_002,Pyruvate,pyruvate,direct,3,1,M+1,0.039498553891474456
condition0,theta0_sample_002,Pyruvate,pyruvate,direct,3,2,M+2,0.04430988370737244
condition0,theta0_sample_002,Pyruvate,pyruvate,direct,3,3,M+3,0.65729389289792628
condition0,theta0_sample_002,Alanine,alanine,reporter,3,0,M+0,0.25889766950322596
condition0,theta0_sample_002,Alanine,alanine,reporter,3,1,M+1,0.039498553891474456
condition0,theta0_sample_002,Alanine,alanine,reporter,3,2,M+2,0.04430988370737244
condition0,theta0_sample_002,Alanine,alanine,reporter,3,3,M+3,0.65729389289792628
condition0,theta0_sample_002,Lactate,lactate,reporter,3,0,M+0,0.25889766950322596
condition0,theta0_sample_002,Lactate,lactate,reporter,3,1,M+1,0.039498553891474456
condition0,theta0_sample_002,Lactate,lactate,reporter,3,2,M+2,0.04430988370737244
condition0,theta0_sample_002,Lactate,lactate,reporter,3,3,M+3,0.65729389289792628
condition0,theta0_sample_002,Citrate,citrate,reporter,6,0,M+0,0.017898968497976019
condition0,theta0_sample_002,Citrate,citrate,reporter,6,1,M+1,0.037408046750508558
condition0,theta0_sample_002,Citrate,citrate,reporter,6,2,M+2,0.099832533078877281
condition0,theta0_sample_002,Citrate,citrate,reporter,6,3,M+3,0.14840140482967273
condition0,theta0_sample_002,Citrate,citrate,reporter,6,4,M+4,0.25603766419404284
condition0,theta0_sample_002,Citrate,citrate,reporter,6,5,M+5,0.14895628006698347
condition0,theta0_sample_002,Citrate,citrate,reporter,6,6,M+6,0.29146510258193653
condition0,theta0_sample_002,aKG,akg,direct,5,0,M+0,0.022279063935261044
condition0,theta0_sample_002,aKG,akg,direct,5,1,M+1,0.061122684111183302
condition0,theta0_sample_002,aKG,akg,direct,5,2,M+2,0.13199091088574799
condition0,theta0_sample_002,aKG,akg,direct,5,3,M+3,0.28035861963759073
condition0,theta0_sample_002,aKG,akg,direct,5,4,M+4,0.18742397194653287
condition0,theta0_sample_002,aKG,akg,direct,5,5,M+5,0.31682474948368189
condition0,theta0_sample_002,Succinate,succinate,direct,4,0,M+0,0.050239653136895074
condition0,theta0_sample_002,Succinate,succinate,direct,4,1,M+1,0.076504075262219931
condition0,theta0_sample_002,Succinate,succinate,direct,4,2,M+2,0.29148766840830276
