time,metabolite,mass_isotopologue,fraction
0,succinate,M+3,0
0,succinate,M+4,0
0.001,succinate,M+0,0.999922025261936
0.001,succinate,M+1,3.89873690320454e-05
0.001,succinate,M+2,3.89873690320454e-05
0.001,succinate,M+3,0
0.001,succinate,M+4,0
0.01,succinate,M+0,0.977409768549781
0.01,succinate,M+1,0.0112951157251021
0.01,succinate,M+2,0.0112948764690114
0.01,succinate,M+3,2.39256101772967e-07
0.01,succinate,M+4,3.68162579790619e-15
0.05,succinate,M+0,0.629816683818351
0.05,succinate,M+1,0.185083915185311
0.05,succinate,M+2,0.181623880503925
0.05,succinate,M+3,0.00347164903965566
0.05,succinate,M+4,3.87145275672921e-06
0.1,succinate,M+0,0.447446929788865
0.1,succinate,M+1,0.275184101163272
0.1,succinate,M+2,0.244116999885402
0.1,succinate,M+3,0.0327057521913134
0.1,succinate,M+4,0.000546216971147742
0.5,succinate,M+0,0.354172409740441
0.5,succinate,M+1,0.302105985839925
0.5,succinate,M+2,0.260405039806118
0.5,succinate,M+3,0.0729126599735426
0.5,succinate,M+4,0.0104039046450771
1,succinate,M+0,0.354167058027928
1,succinate,M+1,0.302083708354866
1,succinate,M+2,0.260416385168657
1,succinate,M+3,0.0729164671325116
1,succinate,M+4,0.0104163813155877
2,succinate,M+0,0.354166838363394
2,succinate,M+1,0.302083495888854
2,succinate,M+2,0.260416544103621
2,succinate,M+3,0.0729165791790191
2,succinate,M+4,0.0104165424647346
0,fumarate,M+0,1
0,fumarate,M+1,0
0,fumarate,M+2,0
0,fumarate,M+3,0
0,fumarate,M+4,0
0.001,fumarate,M+0,0.999996087737172
0.001,fumarate,M+1,1.95613141380894e-06
0.001,fumarate,M+2,1.95613141380894e-06
0.001,fumarate,M+3,0
0.001,fumarate,M+4,0
0.01,fumarate,M+0,0.997452881896492
0.01,fumarate,M+1,0.00127355905175409
0.01,fumarate,M+2,0.00127354609814931
0.01,fumarate,M+3,1.29536048103795e-08
0.01,fumarate,M+4,8.40879424357053e-18
0.05,fumarate,M+0,0.835747380662742
